Time_s,RPM,Iq_A,Vbat_V,Tinv_C,Treg_C
21.8293624,136,-0.014,19,26,26
21.8393624,134,-0.014,19,26,26
21.8493624,141,-0.014,19,26,26
21.8593624,132,-0.014,19,26,26
21.8693624,135,-0.014,19,26,26
21.8793624,128,-0.014,19,26,26
21.8893624,141,-0.014,19,26,26
21.961437,133,-0.003,19,26,26
21.971437,136,-0.003,19,26,26
21.981437,137,-0.003,19,26,26
21.991437,137,-0.003,19,26,26
22.001437,126,-0.003,19,26,26
22.011437,140,-0.003,19,26,26
22.021437,128,-0.003,19,26,26
22.031437,140,-0.003,19,26,26
22.041437,138,-0.003,19,26,26
22.051437,139,-0.003,19,26,26
22.1418479,145,0,19,26,26
22.1518479,130,0,19,26,26
22.1618479,138,0,19,26,26
22.1718479,127,0,19,26,26
22.1818479,134,0,19,26,26
22.1918479,141,0,19,26,26
22.2018479,134,0,19,26,26
22.2118479,139,0,19,26,26
22.2218479,122,0,19,26,26
22.2318479,134,0,19,26,26
22.2098053,134,-0.005,19,26,26
22.2198053,144,-0.005,19,26,26
22.2298053,128,-0.005,19,26,26
22.2398053,139,-0.005,19,26,26
22.2498053,127,-0.005,19,26,26
22.2598053,135,-0.005,19,26,26
22.2698053,140,-0.005,19,26,26
22.2798053,134,-0.005,19,26,26
22.2898053,139,-0.005,19,26,26
22.2998053,121,-0.005,19,26,26
22.3032412,133,-0.011,19,26,26
22.3132412,136,-0.011,19,26,26
22.3232412,128,-0.011,19,26,26
22.3332412,143,-0.011,19,26,26
22.3432412,125,-0.011,19,26,26
22.3532412,140,-0.011,19,26,26
22.3632412,147,-0.011,19,26,26
22.3732412,137,-0.011,19,26,26
22.3832412,113,-0.011,19,26,26
22.3932412,144,-0.011,19,26,26
22.4903897,126,0.001,19,26,26
22.5003897,141,0.001,19,26,26
22.5103897,139,0.001,19,26,26
22.5203897,141,0.001,19,26,26
22.5303897,119,0.001,19,26,26
22.5403897,136,0.001,19,26,26
22.5503897,136,0.001,19,26,26
22.5603897,145,0.001,19,26,26
22.5703897,129,0.001,19,26,26
22.5803897,139,0.001,19,26,26
22.6517584,143,0,19,26,26
22.6617584,129,0,19,26,26
22.6717584,139,0,19,26,26
22.6817584,128,0,19,26,26
22.6917584,136,0,19,26,26
22.7017584,131,0,19,26,26
22.7117584,143,0,19,26,26
22.7217584,136,0,19,26,26
22.7317584,140,0,19,26,26
22.7417584,122,0,19,26,26
22.8719568,139,-0.007,19,26,26
22.8819568,137,-0.007,19,26,26
22.8919568,136,-0.007,19,26,26
22.9019568,127,-0.007,19,26,26
22.9119568,145,-0.007,19,26,26
22.9219568,128,-0.007,19,26,26
22.9319568,139,-0.007,19,26,26
22.9419568,147,-0.007,19,26,26
22.9519568,120,-0.007,19,26,26
22.9619568,138,-0.007,19,26,26
22.9612328,134,-0.004,19,26,26
22.9712328,145,-0.004,19,26,26
22.9812328,130,-0.004,19,26,26
22.9912328,139,-0.004,19,26,26
23.0012328,130,-0.004,19,26,26
23.0112328,138,-0.004,19,26,26
23.0212328,133,-0.004,19,26,26
23.0312328,142,-0.004,19,26,26
23.0412328,136,-0.004,19,26,26
23.0512328,133,-0.004,19,26,26
23.1269824,145,-0.007,19,26,26
23.1369824,131,-0.007,19,26,26
23.1469824,137,-0.007,19,26,26
23.1569824,133,-0.007,19,26,26
23.1669824,131,-0.007,19,26,26
23.1769824,144,-0.007,19,26,26
23.1869824,135,-0.007,19,26,26
23.1969824,139,-0.007,19,26,26
23.2069824,123,-0.007,19,26,26
23.2169824,135,-0.007,19,26,26
